X_Block	Y_Block	X	Y	Feature_ID	Reporter_ID	Nucleic_acid_type	Reporter_chr_coords	Composite	Composite_chr_coords
1	1	2	2	84	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	3	85	A_25_P00010791	miRNA	[36.3:14:100561116-100561132:+]	hsa-miR-380|MI0000788	[36.3:14:100561107-100561167:+]
1	1	2	4	86	A_25_P00010506	miRNA	[36.3:4:113789007-113789019:-]	hsa-miR-302c|MI0000773	[36.3:4:113788968-113789035:-]
1	1	2	5	87	A_25_P00012938	miRNA	[36.3:X:144884040-144884057:-]	hsa-miR-888|MI0005537	[36.3:X:144883994-144884070:-]
1	1	2	6	88	A_25_P00012500	miRNA	[36.3:14:100405214-100405227:+]	hsa-miR-493|MI0003132	[36.3:14:100405150-100405238:+]
1	1	2	7	89	A_25_P00012098	miRNA	[36.3:7:129202043-129202061:-]	hsa-miR-183|MI0000273	[36.3:7:129201981-129202090:-]
1	1	2	8	90	(-)3xSLv1	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	9	91	A_25_P00010665	miRNA	[36.3:16:760249-760264:+]	hsa-miR-662|MI0003670	[36.3:16:760184-760278:+]
1	1	2	10	92	A_25_P00012558	miRNA	[36.3:19:58895135-58895153:+]	hsa-miR-518f|MI0003154	[36.3:19:58895081-58895167:+]
1	1	2	11	93	A_25_P00012820	miRNA	[36.3:15:68158820-68158834:-]	hsa-miR-629|MI0003643	[36.3:15:68158765-68158861:-]
1	1	2	12	94	A_25_P00010709	miRNA	"[36.3:19:58861798-58861816:+,36.3:19:58864282-58864300:+]"	"hsa-miR-512-1|MI0003140,hsa-miR-512-2|MI0003141"	"[36.3:19:58861745-58861828:+,36.3:19:58864223-58864320:+]"
1	1	2	13	95	A_25_P00013739	miRNA	[ebv:ebv|NC_007605.1:140038-140054:+]	ebv-miR-BART6|MI0003728	[ebv:ebv|NC_007605.1:140016-140107:+]
1	1	2	14	96	A_25_P00014589	miRNA	[36.3:21:16884488-16884502:+]	hsa-miR-125b-2|MI0000470	[36.3:21:16884428-16884516:+]
1	1	2	15	97	A_25_P00011889	miRNA	[kshv:kshv|NC_003409.1:121546-121562:-]	kshv-miR-K12-3|MI0002483	[kshv:kshv|NC_003409.1:121544-121613:-]
1	1	2	16	98	A_25_P00013042	miRNA	[36.3:1:164390634-164390649:-]	hsa-miR-921|MI0005713	[36.3:1:164390604-164390659:-]
1	1	2	19	101	NC2_00092197	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	21	103	NC2_00122731	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	22	104	A_25_P00012882	miRNA	[36.3:X:144917051-144917064:-]	hsa-miR-891a|MI0005524	[36.3:X:144917004-144917082:-]
1	1	2	23	105	A_25_P00012234	miRNA	[36.3:2:241044111-241044127:+]	hsa-miR-149|MI0000478	[36.3:2:241044091-241044179:+]
1	1	2	24	106	A_25_P00014873	miRNA	[36.3:19:58892616-58892633:+]	hsa-miR-525|MI0003152	[36.3:19:58892599-58892683:+]
1	1	2	25	107	A_25_P00013220	miRNA	[36.3:22:40626948-40626960:+]	hsa-miR-33a|MI0000091	[36.3:22:40626894-40626962:+]
1	1	2	26	108	A_25_P00010617	miRNA	[36.3:1:98284235-98284253:-]	hsa-miR-137|MI0000454	[36.3:1:98284214-98284315:-]
1	1	2	28	110	A_25_P00012547	miRNA	[36.3:19:58892657-58892671:+]	hsa-miR-525|MI0003152	[36.3:19:58892599-58892683:+]
1	1	2	29	111	A_25_P00010614	miRNA	[36.3:X:133131546-133131564:-]	hsa-miR-20b|MI0001519	[36.3:X:133131505-133131573:-]
1	1	2	30	112	A_25_P00010474	miRNA	[36.3:11:121528193-121528211:-]	hsa-miR-100|MI0000102	[36.3:11:121528147-121528226:-]
1	1	2	31	113	A_25_P00012964	miRNA	[36.3:9:28853634-28853652:-]	hsa-miR-876|MI0005542	[36.3:9:28853624-28853704:-]
1	1	2	32	114	A_25_P00011476	miRNA	[36.3:14:100388507-100388521:+]	hsa-miR-770|MI0005118	[36.3:14:100388480-100388577:+]
1	1	2	33	115	A_25_P00012908	miRNA	[36.3:X:133501927-133501945:-]	hsa-miR-450b|MI0005531	[36.3:X:133501881-133501958:-]
1	1	2	34	116	A_25_P00010613	miRNA	[36.3:13:90801332-90801349:+]	hsa-miR-20a|MI0000076	[36.3:13:90801320-90801390:+]
1	1	2	36	118	A_25_P00012169	miRNA	"[36.3:16:55449950-55449962:+,36.3:3:44130740-44130752:+]"	"hsa-miR-138-2|MI0000455,hsa-miR-138-1|MI0000476"	"[36.3:16:55449931-55450014:+,36.3:3:44130708-44130806:+]"
1	1	2	37	119	A_25_P00010882	miRNA	[36.3:9:96887373-96887388:+]	hsa-miR-23b|MI0000439	[36.3:9:96887311-96887407:+]
1	1	2	38	120	A_25_P00010023	miRNA	[36.3:14:100601731-100601751:+]	hsa-miR-369|MI0000777	[36.3:14:100601688-100601757:+]
1	1	2	39	121	A_25_P00010805	miRNA	[36.3:13:89681501-89681517:+]	hsa-miR-622|MI0003636	[36.3:13:89681437-89681532:+]
1	1	2	40	122	hur_4_27	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	41	123	NC2_00079215	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	42	124	A_25_P00014920	miRNA	[36.3:16:2080265-2080274:-]	hsa-miR-1225|MI0006311	[36.3:16:2080197-2080286:-]
1	1	2	43	125	A_25_P00013277	miRNA	[36.3:7:127635212-127635230:+]	hsa-miR-129-1|MI0000252	[36.3:7:127635161-127635232:+]
1	1	2	44	126	A_25_P00010853	miRNA	[36.3:17:1900334-1900349:-]	hsa-miR-212|MI0000288	[36.3:17:1900315-1900424:-]
1	1	2	45	127	A_25_P00013738	miRNA	[ebv:ebv|NC_007605.1:140039-140054:+]	ebv-miR-BART6|MI0003728	[ebv:ebv|NC_007605.1:140016-140107:+]
1	1	2	46	128	(-)3xSLv1	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	47	129	A_25_P00014908	miRNA	[36.3:3:185441894-185441905:+]	hsa-miR-1224|MI0003764	[36.3:3:185441887-185441971:+]
1	1	2	48	130	A_25_P00010971	miRNA	[36.3:X:76056104-76056123:-]	hsa-miR-384|MI0001145	[36.3:X:76056092-76056179:-]
1	1	2	49	131	A_25_P00012920	miRNA	[36.3:X:144883531-144883544:-]	hsa-miR-890|MI0005533	[36.3:X:144883485-144883561:-]
1	1	2	50	132	A_25_P00012611	miRNA	[36.3:19:58946331-58946351:+]	hsa-miR-522|MI0003177	[36.3:19:58946277-58946363:+]
1	1	2	52	134	A_25_P00013170	miRNA	[36.3:13:90801365-90801384:+]	hsa-miR-20a|MI0000076	[36.3:13:90801320-90801390:+]
1	1	2	54	136	A_25_P00013491	miRNA	[36.3:4:113788829-113788845:-]	hsa-miR-302a|MI0000738	[36.3:4:113788788-113788856:-]
1	1	2	56	138	A_25_P00014118	miRNA	[36.3:19:58893508-58893525:+]	hsa-miR-523|MI0003153	[36.3:19:58893451-58893537:+]
1	1	2	57	139	A_25_P00011121	miRNA	[36.3:1:34907802-34907821:-]	hsa-miR-552|MI0003557	[36.3:1:34907787-34907882:-]
1	1	2	58	140	A_25_P00010180	miRNA	[36.3:X:76142280-76142297:-]	hsa-miR-325|MI0000824	[36.3:X:76142220-76142317:-]
1	1	2	59	141	NC2_00122731	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	60	142	A_25_P00011610	miRNA	[36.3:11:1974606-1974618:-]	hsa-miR-675|MI0005416	[36.3:11:1974565-1974637:-]
1	1	2	61	143	A_25_P00012369	miRNA	[36.3:14:100561847-100561858:+]	hsa-miR-323|MI0000807	[36.3:14:100561822-100561907:+]
1	1	2	62	144	A_25_P00012710	miRNA	[36.3:1:153431661-153431673:+]	hsa-miR-92b|MI0003560	[36.3:1:153431592-153431687:+]
1	1	2	63	145	A_25_P00011681	miRNA	[ebv:ebv|NC_007605.1:139090-139107:+]	ebv-miR-BART3|MI0003725	[ebv:ebv|NC_007605.1:139076-139154:+]
1	1	2	64	146	A_25_P00010387	miRNA	[36.3:10:104186271-104186288:+]	hsa-miR-146b|MI0003129	[36.3:10:104186259-104186331:+]
1	1	2	65	147	A_25_P00013573	miRNA	[36.3:X:133131509-133131520:-]	hsa-miR-20b|MI0001519	[36.3:X:133131505-133131573:-]
1	1	2	66	148	A_25_P00011739	miRNA	[kshv:kshv|NC_003409.1:121455-121468:-]	kshv-miR-K12-4|MI0002482	[kshv:kshv|NC_003409.1:121413-121482:-]
1	1	2	67	149	A_25_P00011354	miRNA	[36.3:5:36183766-36183785:-]	hsa-miR-580|MI0003587	[36.3:5:36183751-36183847:-]
1	1	2	68	150	A_25_P00012098	miRNA	[36.3:7:129202043-129202061:-]	hsa-miR-183|MI0000273	[36.3:7:129201981-129202090:-]
1	1	2	69	151	A_25_P00010635	miRNA	[36.3:5:148422129-148422144:-]	hsa-miR-584|MI0003591	[36.3:5:148422069-148422165:-]
1	1	2	70	152	A_25_P00012153	miRNA	[36.3:18:54269304-54269321:+]	hsa-miR-122|MI0000442	[36.3:18:54269286-54269370:+]
1	1	2	71	153	A_25_P00011280	miRNA	[36.3:12:79853706-79853723:-]	hsa-miR-618|MI0003632	[36.3:12:79853646-79853743:-]
1	1	2	72	154	A_25_P00010400	miRNA	[36.3:9:72614767-72614785:-]	hsa-miR-204|MI0000284	[36.3:9:72614711-72614820:-]
1	1	2	73	155	A_25_P00010535	miRNA	[36.3:12:12960091-12960105:+]	hsa-miR-614|MI0003627	[36.3:12:12960030-12960119:+]
1	1	2	75	157	A_25_P00013520	miRNA	[36.3:4:113788520-113788540:-]	hsa-miR-367|MI0000775	[36.3:4:113788479-113788546:-]
1	1	2	76	158	A_25_P00014886	miRNA	"[36.3:X:146102748-146102762:-,36.3:X:146115110-146115124:-]"	"hsa-miR-513a-1|MI0003191,hsa-miR-513a-2|MI0003192"	"[36.3:X:146102673-146102801:-,36.3:X:146115036-146115162:-]"
1	1	2	77	159	A_25_P00011720	miRNA	[kshv:kshv|NC_003409.1:120796-120811:-]	kshv-miR-K12-6|MI0002480	[kshv:kshv|NC_003409.1:120761-120822:-]
1	1	2	79	161	A_25_P00010345	miRNA	[36.3:1:166611454-166611468:+]	hsa-miR-557|MI0003563	[36.3:1:166611386-166611483:+]
1	1	2	80	162	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	81	163	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	2	82	164	miRNABrightCorner30	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	3	1	165	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	3	2	166	DarkCorner	miRNA	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]	NOMATCH	[36.3:NOMATCH:NOMATCH-NOMATCH:NOMATCH]
1	1	3	3	167	A_25_P00013713	miRNA	[ebv:ebv|NC_007605.1:42974-42989:+]	ebv-miR-BHRF1-3|MI0001066	[ebv:ebv|NC_007605.1:42966-43030:+]
1	1	3	4	168	A_25_P00010211	miRNA	"[36.3:4:20139022-20139040:+,36.3:5:168127794-168127812:-]"	"hsa-miR-218-1|MI0000294,hsa-miR-218-2|MI0000295"	"[36.3:4:20138996-20139105:+,36.3:5:168127729-168127838:-]"
1	1	3	5	169	A_25_P00012829	miRNA	[36.3:17:72244143-72244153:-]	hsa-miR-636|MI0003651	[36.3:17:72244127-72244225:-]
1	1	3	6	170	A_25_P00013382	miRNA	[36.3:8:135881957-135881975:-]	hsa-miR-30b|MI0000441	[36.3:8:135881945-135882032:-]
1	1	3	7	171	A_25_P00013238	miRNA	[36.3:7:129201773-129201788:-]	hsa-miR-96|MI0000098	[36.3:7:129201768-129201845:-]
1	1	3	8	172	A_25_P00013001	miRNA	[36.3:5:15988348-15988359:+]	hsa-miR-887|MI0005562	[36.3:5:15988291-15988369:+]
1	1	3	9	173	A_25_P00012019	miRNA	[36.3:9:21502157-21502172:-]	hsa-miR-31|MI0000089	[36.3:9:21502114-21502184:-]
1	1	3	10	174	A_25_P00012919	miRNA	[36.3:5:137011170-137011182:-]	hsa-miR-874|MI0005532	[36.3:5:137011160-137011237:-]
1	1	3	11	175	A_25_P00011271	miRNA	[36.3:19:3912427-3912440:-]	hsa-miR-637|MI0003652	[36.3:19:3912412-3912510:-]
1	1	3	12	176	A_25_P00013551	miRNA	[36.3:1:203684074-203684088:-]	hsa-miR-135b|MI0000810	[36.3:1:203684053-203684149:-]
1	1	3	13	177	A_25_P00011275	miRNA	[36.3:8:145091362-145091374:-]	hsa-miR-661|MI0003669	[36.3:8:145091347-145091435:-]
1	1	3	14	178	A_25_P00012904	miRNA	[36.3:19:6446974-6446989:+]	hsa-miR-220b|MI0005529	[36.3:19:6446959-6447045:+]
1	1	3	15	179	A_25_P00012585	miRNA	"[36.3:19:58915182-58915196:+,36.3:19:58926090-58926104:+,36.3:19:58934419-58934433:+,36.3:19:58949102-58949116:+]"	"hsa-miR-520d|MI0003164,hsa-miR-518a-1|MI0003170,hsa-miR-518a-2|MI0003173,hsa-miR-527|MI0003179"	"[36.3:19:58915162-58915248:+,36.3:19:58926072-58926156:+,36.3:19:58934399-58934485:+,36.3:19:58949084-58949168:+]"
1	1	3	16	180	A_25_P00013239	miRNA	[36.3:7:129201773-129201789:-]	hsa-miR-96|MI0000098	[36.3:7:129201768-129201845:-]
1	1	3	18	182	A_25_P00012846	miRNA	[36.3:7:92950071-92950089:-]	hsa-miR-653|MI0003674	[36.3:7:92950008-92950103:-]
1	1	3	19	183	A_25_P00012539	miRNA	"[36.3:19:58889478-58889494:+,36.3:19:58901338-58901354:+,36.3:19:58902540-58902556:+,36.3:19:58903831-58903847:+,36.3:19:58922000-58922016:+,36.3:19:58929964-58929980:+]"	"hsa-miR-526b|MI0003150,hsa-miR-526a-1|MI0003157,hsa-miR-520c|MI0003158,hsa-miR-518c|MI0003159,hsa-miR-526a-2|MI0003168,hsa-miR-518d|MI0003171"	"[36.3:19:58889459-58889541:+,36.3:19:58901318-58901402:+,36.3:19:58902519-58902605:+,36.3:19:58903801-58903901:+,36.3:19:58921988-58922052:+,36.3:19:58929943-58930029:+]"
